time (milliseconds),x,y,z
1682889337709,9.369481202319262,-3.2679096496770494,20.0
1682889337714,9.573886750838845,-3.275654545902826,20.0
1682889337719,9.79325434476518,-3.2870184347927864,20.0
1682889337724,9.95454196456396,-3.296147922660368,20.0
1682889337729,6.819080602323649,-2.4577757592066876,20.0
1682889337734,2.9005923135104665,-1.665696713582655,20.0
1682889337739,0.08589001273334457,-0.9122960862984408,20.0
1682889337744,-1.314691846236794,0.024292325669492083,20.0
1682889337749,-1.7255054729025558,0.49385641336629194,20.0
1682889337754,-2.2239808776428918,0.7510398385795971,20.0
1682889337759,-2.1937846827908922,0.7819685730623949,20.0
1682889337764,-2.1268441536091016,0.7971715345914355,20.0
1682889337769,-2.032463077675196,0.7870727099708885,20.0
1682889337774,-1.7607812471731454,0.9967615551771897,20.0
1682889337779,-1.6383281479873624,1.120195515680647,20.0
1682889337784,-1.5717142483896576,1.205952991066494,20.0
1682889337789,-1.436029260406573,1.1181612334757527,20.0
1682889337794,-1.3704053158813965,1.0636179310621725,20.0
1682889337799,-1.3090642732075397,1.0082028486712389,20.0
1682889337804,-1.2391777334404652,0.9763838608169502,20.0
1682889337809,-1.152201141811917,0.9654357708233259,20.0
1682889337814,-0.8997061971164831,0.9151979862678216,20.0
1682889337819,-0.7380422708592296,0.8729820878210605,20.0
1682889337824,-0.6258962834779404,0.8696052747534468,20.0
1682889337829,-0.5465982300743176,0.8684411316469842,20.0
1682889337834,-0.49719613816966546,0.8447528586775543,20.0
1682889337839,-0.29014718524604766,0.7367168492929964,20.0
1682889337844,-0.12956473533691035,0.7117654946334904,20.0
1682889337849,0.061376027728276494,0.6828608393126766,20.0
1682889337854,0.3929531430447114,0.6656765947396758,20.0
1682889337859,0.6439852367495623,0.642824037230459,20.0
1682889337864,0.8345007064317834,0.600992709383677,20.0
1682889337869,1.1038995515120067,0.43656704830386994,20.0
1682889337874,1.1568267364774223,0.4051789000798495,20.0
1682889337879,1.191544960482229,0.399125478942559,20.0
1682889337884,1.2177163184528284,0.4031865323914024,20.0
1682889337889,1.2333247819394562,0.4170007054899949,20.0
1682889337894,1.4026229751447992,0.3268442386684806,20.0
1682889337899,1.3914000723862499,0.3616304752127223,20.0
1682889337904,1.389023125988815,0.39195673577259404,20.0
1682889337909,1.5304956642542968,0.335424722527321,20.0
1682889337914,1.6644153592022946,0.2807745032906555,20.0
