CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward
1682889337284;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.355284, -0.162998, 0.920438);2;0;-21.1;-10.0;;(-0.355275, -0.162993, 0.920442)
1682889337289;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.122443, -0.161871, 0.979186);2;0;7.1;-9.4;(0.465202, -0.050856, 0.883743);
1682889337294;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.312851, -0.150263, 0.937841);2;0;18.4;-9.1;(0.420102, -0.071439, 0.904661);
1682889337299;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.352784, -0.137712, 0.925516);2;0;20.9;-8.5;(0.168826, 0.222277, 0.960256);
1682889337304;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.365410, -0.125998, 0.922280);2;0;21.6;-7.8;(0.183964, 0.076709, 0.979935);
1682889337309;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.296529, -0.133704, 0.945618);2;0;17.4;-8.0;(0.188205, -0.054083, 0.980640);
1682889337314;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.274294, -0.138268, 0.951654);2;0;16.1;-8.3;(0.196656, -0.119251, 0.973194);
1682889337319;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.258654, -0.140547, 0.955691);2;0;15.1;-8.4;(0.204257, -0.141891, 0.968579);
1682889337324;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.251886, -0.141918, 0.957295);2;0;14.7;-8.4;(0.212071, -0.151946, 0.965370);
1682889337329;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.255032, -0.142822, 0.956327);2;0;14.9;-8.5;(0.222574, -0.162006, 0.961361);
1682889337334;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.256551, -0.144662, 0.955644);2;0;15.0;-8.6;(0.231208, -0.166731, 0.958511);
1682889337339;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.250693, -0.146144, 0.956972);2;0;14.7;-8.7;(0.233814, -0.163763, 0.958391);
1682889337344;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.246772, -0.148093, 0.957691);2;0;14.4;-8.8;(0.235258, -0.164306, 0.957944);
1682889337349;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.244598, -0.150340, 0.957899);2;0;14.3;-8.9;(0.236382, -0.165732, 0.957422);
1682889337354;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.243582, -0.152432, 0.957827);2;0;14.3;-9.0;(0.237447, -0.166280, 0.957063);
1682889337359;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.242712, -0.154429, 0.957728);2;0;14.2;-9.2;(0.238107, -0.166718, 0.956823);
1682889337364;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.243727, -0.155778, 0.957252);2;0;14.3;-9.2;(0.239692, -0.165876, 0.956574);
1682889337369;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.244878, -0.156871, 0.956779);2;0;14.4;-9.3;(0.241254, -0.165173, 0.956302);
1682889337374;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.245305, -0.158181, 0.956454);2;0;14.4;-9.4;(0.242209, -0.165618, 0.955984);
1682889337379;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.245881, -0.159284, 0.956123);2;0;14.4;-9.5;(0.243161, -0.165822, 0.955707);
1682889337384;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.246649, -0.159875, 0.955826);2;0;14.5;-9.5;(0.244199, -0.165137, 0.955561);
1682889337389;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.247819, -0.160475, 0.955423);2;0;14.5;-9.5;(0.245462, -0.164963, 0.955267);
1682889337394;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.251665, -0.160063, 0.954487);2;0;14.8;-9.5;(0.248779, -0.162911, 0.954761);
1682889337399;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.254596, -0.159760, 0.953760);2;0;14.9;-9.5;(0.251586, -0.161596, 0.954249);
1682889337404;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.257552, -0.159247, 0.953052);2;0;15.1;-9.5;(0.254526, -0.160082, 0.953725);
1682889337409;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.259372, -0.158931, 0.952611);2;0;15.2;-9.5;(0.256596, -0.159231, 0.953312);
1682889337414;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.261490, -0.158187, 0.952155);2;0;15.4;-9.4;(0.258928, -0.157392, 0.952987);
1682889337419;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.262751, -0.157824, 0.951869);2;0;15.4;-9.4;(0.260499, -0.156692, 0.952674);
1682889337424;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.263528, -0.157682, 0.951677);2;0.1392657;15.5;-9.4;(0.261589, -0.156608, 0.952389);
1682889337429;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.264500, -0.157706, 0.951403);2;0.1054774;15.5;-9.4;(0.262778, -0.156968, 0.952003);
1682889337434;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.265634, -0.157773, 0.951076);2;0.3574163;15.6;-9.4;(0.264071, -0.157376, 0.951577);
1682889337439;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.266771, -0.157922, 0.950733);2;0.3985087;15.7;-9.4;(0.265341, -0.157912, 0.951135);
1682889337444;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.268899, -0.157956, 0.950128);2;0.3449243;15.8;-9.4;(0.267501, -0.158148, 0.950491);
1682889337449;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.270498, -0.158235, 0.949628);2;0.3155464;15.9;-9.5;(0.269187, -0.158860, 0.949896);
1682889337454;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.272684, -0.158455, 0.948966);2;0.2585692;16.0;-9.5;(0.271422, -0.159365, 0.949175);
1682889337459;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.275084, -0.158640, 0.948242);2;0.2939234;16.2;-9.5;(0.273881, -0.159732, 0.948407);
1682889337464;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.277863, -0.158898, 0.947388);2;0.2550049;16.3;-9.5;(0.276715, -0.160199, 0.947505);
1682889337469;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.280407, -0.159250, 0.946579);2;0.2639227;16.5;-9.5;(0.279341, -0.160757, 0.946639);
1682889337474;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.282192, -0.159284, 0.946043);2;0.2235366;16.6;-9.6;(0.281252, -0.160670, 0.946088);
1682889337479;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.283865, -0.159300, 0.945539);2;0.2437367;16.7;-9.6;(0.283043, -0.160570, 0.945571);
1682889337484;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.286190, -0.159379, 0.944825);2;0.2063875;16.9;-9.6;(0.285453, -0.160614, 0.944839);
1682889337489;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.287436, -0.159651, 0.944401);2;0.3477289;16.9;-9.6;(0.286797, -0.160931, 0.944377);
1682889337494;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.289000, -0.160458, 0.943786);2;0.2551572;17.0;-9.6;(0.288426, -0.162010, 0.943696);
1682889337499;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.292637, -0.161119, 0.942552);2;0.1386689;17.2;-9.7;(0.292101, -0.162814, 0.942427);
1682889337504;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.295590, -0.161445, 0.941574);2;0.1169768;17.4;-9.7;(0.295114, -0.163093, 0.941440);
1682889337509;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.298070, -0.161968, 0.940702);2;0.1754345;17.6;-9.8;(0.297652, -0.163604, 0.940552);
1682889337514;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.300472, -0.162217, 0.939895);2;0.175964;17.7;-9.8;(0.300112, -0.163750, 0.939744);
1682889337519;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.302499, -0.162260, 0.939237);2;0.1784243;17.9;-9.8;(0.302193, -0.163648, 0.939095);
1682889337524;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.304670, -0.162348, 0.938520);2;0.1768794;18.0;-9.8;(0.304410, -0.163622, 0.938383);
1682889337529;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.309351, -0.162872, 0.936896);2;0;18.3;-9.9;(0.309123, -0.164136, 0.936751);
1682889337534;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.312375, -0.163524, 0.935779);2;0;18.5;-9.9;(0.312179, -0.164757, 0.935628);
